0;jogador;posicao;id_jogador;id_equipe;jogador_apelido;altura
1535;Guillermo Alejandro Araujo Cappello;Pivo;826;53;Araujo;2.04
1537;Gustavo Santos Pereira Lima;Armador;310;54;Lima;1.91
1538;Gustavo Scaglia de Paula;Ala;1010;3;Scaglia;1.91
1539;Henrique Coelho;Armador;711;16;Coelho;1.87
1541;Henrique Macia Alves da Cruz;AlaPivo;420;17;Pilar;1.91
1542;Higor Simas Pereira Lima;Ala;1035;15;Higor;1.96
1543;Humberto Luiz Gomes da Silva;AlaArmador;818;18;Humberto G,;1.91
1544;Hélio Rubens Garcia Filho;Armador;91;14;Helinho;1.83
1545;Hélio Vitor Luiz da Costa Lima;AlaArmador;152;20;Hélio;1.87
1546;Ian Curtis Young;Ala;11693;87;Young;1.9
1547;Icaro Parisotto;Armador;304;20;Icaro;1.85
1548;Isaac Rafael Gonçalves;Ala;794;3;Isaac;1.92
1549;Jamaal Thaddius Smith;Armador;11242;87;Jamaal;1.91
1550;Jason Anthony Smith;Armador;11356;18;Jason Smith;1.88
1551;Jefferson Campos;AlaArmador;1058;18;Jefferson;1.91
1552;Jefferson Froehlich Socas;Armador;979;53;J, Socas;1.91
1553;Jefferson William Andrade da Silva Antônio;AlaPivo;154;13;Jefferson;2.07
1554;Jerome Dieu Donne Meyinsse;Pivo;11281;2;Meyinsse;2.07
1555;Jhonatan Luz dos Santos;Ala;26;52;Jhonatan;1.97
1556;Jimmy Devon Baxter;Ala;11667;19;J, Baxter;1.98
1557;Jimmy Dreher de Oliveira;Ala;105;54;Jimmy;1.91
1558;Joseph Troy Smith;AlaArmador;1021;18;Joe Smith;1.93
1559;José Estevam Ferreira Junior;Pivo;36;129;Estevão;2.11
1561;José Roberto Nardi Duarte;AlaArmador;134;19;Betinho;1.95
1562;João Pedro Borrego Siqueira Martins;Armador;1053;19;João;1.8
1563;João Pedro de Moraes Demétrio;AlaPivo;1224;14;João Pedro;2.08
1564;João Phylippe Belmiro Bernardi;AlaPivo;1263;87;João;1.91
1566;Juan Pablo Figueroa;Armador;423;14;Figueroa;1.82
1567;Kenny Montrell Dawkins;Armador;797;17;Dawkins;1.8
1568;Kyle E, LaMonte;AlaArmador;11743;3;LaMonte;1.91
1569;Larry James Taylor Jr;Armador;192;13;Larry;1.91
1570;Leandro Cruvinel Miranda;Pivo;384;20;Leandro ;2.05
1573;Leonardo Demétrio;AlaPivo;823;16;Léo Demétrio;2.08
1574;Leonardo Di Pacce Dos Santos;Pivo;102;18;Morro;1.91
1578;Leonardo K, Waszkiewicz;Pivo;782;14;Leonardo;1.91
1579;Leonardo Simões Meindl;Ala;555;14;Léo Meindl;2
1581;Luan Pereira Xavier;Ala;610;20;Luan;1.87
1582;Lucas Cipolini Alves;Pivo;427;3;Cipolini;2.03
1583;Lucas Daniel Tischer;Pivo;100;129;Tischer;2.08
1584;Lucas Dias Silva;Ala;575;18;Lucas;2.07
1586;Lucas Fernandes Mariano;Pivo;448;14;Lucas;2.07
1588;Lucas Lopes Duso;Armador;572;129;Duso;1.78
1590;Lucas Miguel Avelino;Armador;451;52;Lucas Locke;1.9
1591;Lucas Moraes dos Santos;Pivo;11321;17;Lucão;1.91
1592;Lucas Teodoro de Souza Colimerio;AlaPivo;1054;19;Colimerio;2.07
1594;Luis Felipe Gruber;AlaPivo;394;20;Gruber;1.91
1595;Luis Otavio da Silva Vieira;Ala;536;2;Chupeta;1.99
1596;Luiz Felipe Elizeu Mendes Ribeiro;AlaPivo;273;18;Felipe;2
1597;Luiz Gustavo Basílio Timotheo de Oliveira;Ala;11328;19;Gustavo;1.91
1598;Luiz Otavio Guimarães Schwartzman;AlaPivo;816;2;Mingau;2.01
1599;Luiz Paulo Cecílio dos Santos;Pivo;11306;23;Lupa;1.91
1600;Maique Tavares de Oliveira;Pivo;11301;87;Maique;2.11
1601;Marcelo Magalhães Machado;Ala;193;2;Marcelinho;2
1602;Marcos Daniel Mata;Ala;11658;14;Mata;2.01
1603;Marcos Vinícius Inácio;Pivo;178;23;Marcão;2.05
1604;Marcus Vinicius Urban Toledo Medina;AlaPivo;11316;18;Toledo;1.91
