"","X.2","predict","Ala","AlaArmador","AlaPivo","Armador","Pivo","jogador","id_jogador","jogador..3","jogador_apelido","Temporada","id_equipe","equipe","played_minutes","tried_two_points","made_two_points","lost_two_points","two_points","tried_three_points","made_three_points","lost_three_points","three_points","tried_free_throw_points","made_free_throw_points","lost_free_throw_points","tried_points","lost_points","total_points","offensive_rebounds","defensive_rebounds","total_assists","steals","free_throw_points","correct_two_points_throws","wrong_two_points_throws","two_points_throws_total","wrong_throws","tried_dunk_points","dunk_points","correct_three_points_throws","three_points_throws_total","wrong_three_points_throws","correct_free_throws","wrong_free_throws","total_free_throws","total_rebounds","total_of_blocks","commited_fouls","received_fouls","fouls","total_fouls","total_of_errors","mistakes","pos","exp","maxPosition","posGroup","totalPos","range","type","posingles","pos1","PG","SG","SF","PF","C"
"566",566,"AlaPivo",0.0286262968207329,0.00136009268321121,0.885473756350634,0.00155757451892292,0.0829822796264994,"Márcio Santos Cipriano",34,"Márcio Santos Cipriano","Cipriano","NBB 4",3,"Brasília",651.00017,0.198156630281679,0.0983102661862592,0.0998463640954195,0.196620532372518,0.046082937274809,0.0107526853641221,0.0353302519106869,0.0322580560923663,0.0721966017305341,0.0568356226389311,0.015360979091603,0.606758674118318,0.486943037203815,0.285714211103816,0.076804895458015,0.182795651190076,0.0368663498198472,0.0506912310022899,0.0568356226389311,0.0983102661862592,0.0998463640954195,0.198156630281679,0.46082937274809,0.0030721958183206,0.0030721958183206,0.0107526853641221,0.046082937274809,0.0353302519106869,0.0568356226389311,0.015360979091603,0.0721966017305341,0.259600546648091,0.0215053707282442,0.15514588882519,0.0737326996396944,0.15514588882519,0.15514588882519,0.0706605038213738,0.0445468393656487,"AlaPivo",6,0.885473756350634,"PF",1,80,"Specialist","Power Forward","PF",0.00155757451892292,0.00136009268321121,0.0286262968207329,0.885473756350634,0.0829822796264994
"567",567,"Ala",0.712133453481213,0.0813298179604812,0.0920926394299372,0.0751494022341405,0.0392946868942281,"Márcio da Silva Dornelles",445,"Márcio da Silva Dornelles","Márcio","NBB 4",14,"Franca",827.7166,0.21263316453965,0.105108439289486,0.107524725250164,0.210216878578973,0.109941011210842,0.0422850043118623,0.0676560068989797,0.126855012935587,0.130479441876604,0.105108439289486,0.0253710025871174,0.88556880458843,0.769587078475894,0.442180330804046,0.0265791455674563,0.0833618656433857,0.0459094332528791,0.0362442894101677,0.105108439289486,0.105108439289486,0.107524725250164,0.21263316453965,0.620985491894206,0,0,0.0422850043118623,0.109941011210842,0.0676560068989797,0.105108439289486,0.0253710025871174,0.130479441876604,0.109941011210842,0.00483257192135569,0.118398012073214,0.136520156778298,0.118398012073214,0.118398012073214,0.0386605753708455,0.031411717488812,"Ala",9,0.712133453481213,"SF",1,70,"Specialist","Small Forward","SF",0.0751494022341405,0.0813298179604812,0.712133453481213,0.0920926394299372,0.0392946868942281
"568",568,"Pivo",0.1143136582948,0.0470764870187957,0.196975444799211,0.0431037023908801,0.598530707496314,"Nathan Wilbarte Thomas",804,"Nathan Wilbarte Thomas","Nate","NBB 4",13,"Bauru",117.53333,0.161656272310161,0.0680657988674361,0.0935904734427247,0.136131597734872,0.017016449716859,0,0.017016449716859,0,0.0680657988674361,0.0425411242921476,0.0255246745752886,0.442427692638335,0.289279645186604,0.17867272202702,0.0680657988674361,0.0935904734427247,0.0340328994337181,0.0340328994337181,0.0425411242921476,0.0680657988674361,0.0935904734427247,0.161656272310161,0.35734544405404,0.0510493491505771,0.0510493491505771,0,0.017016449716859,0.017016449716859,0.0425411242921476,0.0255246745752886,0.0680657988674361,0.161656272310161,0.0340328994337181,0.136131597734872,0.0425411242921476,0.136131597734872,0.136131597734872,0.0425411242921476,0.0425411242921476,"Ala",1,0.598530707496314,"C",1,50,"Specialist","Small Forward","SF",0.0431037023908801,0.0470764870187957,0.1143136582948,0.196975444799211,0.598530707496314
"569",569,"Armador",0.0330580069582627,0.105401535290431,0.00487302034498539,0.852680220564228,0.00398721684209327,"Otavio Augusto Troyano De Castro",292,"Otavio Augusto Troyano De Castro","Otávio","NBB 4",16,"Minas",243.83334,0.106630208977985,0.0451127807214551,0.0615174282565296,0.0902255614429101,0.0943267233266788,0.0328092950701491,0.0615174282565296,0.0984278852104474,0.0164046475350746,0.0164046475350746,0,0.51264523547108,0.479835940400931,0.205058094188432,0.00410116188376864,0.0656185901402983,0.0820232376753729,0.0492139426052237,0.0164046475350746,0.0451127807214551,0.0615174282565296,0.106630208977985,0.246069713026119,0,0,0.0328092950701491,0.0943267233266788,0.0615174282565296,0.0164046475350746,0,0.0164046475350746,0.0697197520240669,0,0.205058094188432,0.0410116188376864,0.205058094188432,0.205058094188432,0.0615174282565296,0.0451127807214551,"Armador",3,0.852680220564228,"PG",1,80,"Specialist","Point Guard","PG",0.852680220564228,0.105401535290431,0.0330580069582627,0.00487302034498539,0.00398721684209327
"570",570,"Pivo",0.0114812450152152,0.0148611390207281,0.0431663226389879,0.0132324081849439,0.917258885140125,"Paulo Fernando Moreira De Castro",113,"Paulo Fernando Moreira De Castro","Paulão","NBB 4",19,"São José",165.36668,0.241886696884765,0.145132018130859,0.0967546787539062,0.290264036261719,0,0,0,0,0.108849013598144,0.0786131764875488,0.0302358371105957,0.592622407367675,0.387018715015625,0.368877212749267,0.0544245067990722,0.151179185552978,0.0120943348442383,0.0181415022663574,0.0786131764875488,0.145132018130859,0.0967546787539062,0.241886696884765,0.574480905101318,0.0120943348442383,0.0120943348442383,0,0,0,0.0786131764875488,0.0302358371105957,0.108849013598144,0.205603692352051,0.0302358371105957,0.175367855241455,0.0967546787539062,0.175367855241455,0.175367855241455,0.042330171954834,0.0302358371105957,"Pivo",4,0.917258885140125,"C",1,90,"Specialist","Center","C",0.0132324081849439,0.0148611390207281,0.0114812450152152,0.0431663226389879,0.917258885140125
"571",571,"AlaArmador",0.0526126391745487,0.648154107199981,0.0038271169619322,0.291977204457832,0.00342893220570616,"Paulo Heitor Boracini",210,"Paulo Heitor Boracini","Paulinho","NBB 4",18,"Pinheiros",663.71633,0.152173444338789,0.0873867304123736,0.0647867139264149,0.174773460824747,0.168746789761825,0.075333388286529,0.0934134014752959,0.226000164859587,0.0768400560522595,0.0693067172236067,0.0075333388286529,0.887427314015311,0.772920563819787,0.470080342907941,0.0301333553146116,0.0602667106292232,0.120533421258446,0.0512267040348397,0.0693067172236067,0.0873867304123736,0.0647867139264149,0.152173444338789,0.479120349502324,0.00301333553146116,0.00301333553146116,0.075333388286529,0.168746789761825,0.0934134014752959,0.0693067172236067,0.0075333388286529,0.0768400560522595,0.0904000659438348,0.00452000329719174,0.120533421258446,0.0678000494578761,0.120533421258446,0.120533421258446,0.108480079132602,0.0934134014752959,"AlaArmador",8,0.648154107199981,"SG,PG",2,60,"Versatile","Shooting Guard","SG",0.291977204457832,0.648154107199981,0.0526126391745487,0.0038271169619322,0.00342893220570616
"572",572,"Armador",0.0766756364693098,0.207875999841086,0.010914491060254,0.696221735168558,0.00831213746079213,"Paulo Rogerio Nery",104,"Paulo Rogerio Nery","Paulo Nery","NBB 4",23,"L, Sorocabana",794.3666,0.176241045381314,0.0881205226906569,0.0881205226906569,0.176241045381314,0.0893793873005235,0.0352482090762628,0.0541311782242607,0.105744627228788,0.0856027934709239,0.0528723136143942,0.0327304798565297,0.706223046135122,0.624396846493798,0.334857986224496,0.0352482090762628,0.0717552827623921,0.069237553542659,0.0428013967354619,0.0528723136143942,0.0881205226906569,0.0881205226906569,0.176241045381314,0.456967853381549,0,0,0.0352482090762628,0.0893793873005235,0.0541311782242607,0.0528723136143942,0.0327304798565297,0.0856027934709239,0.107003491838655,0.00125886460986653,0.113297814887987,0.0793084704215912,0.113297814887987,0.113297814887987,0.0830850642511908,0.0616843658834599,"Armador",5,0.696221735168558,"SG,PG",2,60,"Versatile","Point Guard","PG",0.696221735168558,0.207875999841086,0.0766756364693098,0.010914491060254,0.00831213746079213
"573",573,"AlaArmador",0.247464086526623,0.591345690405766,0.025247145026146,0.123686283663962,0.0122567943775032,"Pedro César Teruel Lima",360,"Pedro César Teruel Lima","Pedro","NBB 4",17,"Paulistano",598.70023,0.11524966342505,0.0618005441554616,0.0534491192695884,0.123601088310923,0.2304993268501,0.0901953887674304,0.140303938082669,0.270586166302291,0.118590233379399,0.0851845338359065,0.0334056995434927,1.0405875407798,0.863537333199287,0.479371788449121,0.0100217098630478,0.0801736789043826,0.0300651295891435,0.0350759845206674,0.0851845338359065,0.0618005441554616,0.0534491192695884,0.11524966342505,0.521128912878487,0,0,0.0901953887674304,0.2304993268501,0.140303938082669,0.0851845338359065,0.0334056995434927,0.118590233379399,0.0901953887674304,0.00167028497717464,0.108568523516351,0.0818439638815572,0.108568523516351,0.108568523516351,0.0534491192695884,0.0450976943837152,"AlaArmador",7,0.591345690405766,"SF,SG",2,50,"Versatile","Shooting Guard","SG",0.123686283663962,0.591345690405766,0.247464086526623,0.025247145026146,0.0122567943775032
"574",574,"Ala",0.601279590156493,0.0615253842376693,0.225360090795951,0.0640703204901105,0.0477646143197766,"Pedro Henrique Soares da Silva",735,"Pedro Henrique Soares da Silva","Galocha","NBB 4",21,"Espírito Santo",150.05003,0.0933022139349123,0.0333222192624687,0.0599799946724436,0.0666444385249373,0.0733088823774311,0.00666444385249373,0.0666444385249373,0.0199933315574812,0.0733088823774311,0.0466511069674561,0.0266577754099749,0.479839957379549,0.399866631149624,0.133288877049875,0.0133288877049875,0.099966657787406,0.0199933315574812,0.0533155508199499,0.0466511069674561,0.0333222192624687,0.0599799946724436,0.0933022139349123,0.313228861067205,0,0,0.00666444385249373,0.0733088823774311,0.0666444385249373,0.0466511069674561,0.0266577754099749,0.0733088823774311,0.113295545492393,0.00666444385249373,0.119959989344887,0.0666444385249373,0.119959989344887,0.119959989344887,0.0933022139349123,0.0666444385249373,"Ala",1,0.601279590156493,"SF,PF",2,60,"Versatile","Small Forward","SF",0.0640703204901105,0.0615253842376693,0.601279590156493,0.225360090795951,0.0477646143197766
"575",575,"Ala",0.68651862198182,0.0585197459559048,0.136649332011479,0.03851924214206,0.0797930579087359,"Rafael Carlos Stabile Silva",277,"Rafael Carlos Stabile Silva","R, Stabile","NBB 4",10,"Araraquara",189.18333,0.158576339680669,0.100431681797757,0.0581446578829118,0.200863363595513,0.121575193755179,0.0211435119574225,0.100431681797757,0.0634305358722674,0.111003437776468,0.100431681797757,0.0105717559787112,0.792881698403342,0.792881698403342,0.364725581265538,0.0264293899467781,0.100431681797757,0.0370011459254893,0.0422870239148449,0.100431681797757,0.100431681797757,0.0581446578829118,0.158576339680669,0.570874822850407,0.0317152679361337,0.0317152679361337,0.0211435119574225,0.121575193755179,0.100431681797757,0.100431681797757,0.0105717559787112,0.111003437776468,0.126861071744535,0,0.16914809565938,0.0951458038084011,0.16914809565938,0.16914809565938,0.0792881698403343,0.0634305358722674,"Ala",4,0.68651862198182,"SF",1,60,"Specialist","Small Forward","SF",0.03851924214206,0.0585197459559048,0.68651862198182,0.136649332011479,0.0797930579087359
