"","Versatile","Specialist","group"
"1",39,116,"2009"
"2",43,95,"2010"
"3",40,116,"2011"
"4",52,113,"2012"
"5",57,144,"2013"
"6",60,126,"2014"
"7",48,124,"2015"
"8",70,91,"2016"
"9",78,85,"2017"
